,CaseNo,CaseTitle,Pertains,Justice,Vote,Appellant,Appellee
0,21-1086,Allen v. Milligan,Act ,"John G. Roberts, Jr.",Majority,Allen,Milligan
1,21-1086,Allen v. Milligan,Act ,Clarence Thomas,Minority,Allen,Milligan
2,21-1086,Allen v. Milligan,Act ,"Samuel A. Alito, Jr.",Minority,Allen,Milligan
3,21-1086,Allen v. Milligan,Act ,Sonia Sotomayor,Majority,Allen,Milligan
4,21-1086,Allen v. Milligan,Act ,Elena Kagan,Majority,Allen,Milligan
5,21-1086,Allen v. Milligan,Act ,Neil Gorsuch,Minority,Allen,Milligan
6,21-1086,Allen v. Milligan,Act ,Brett M. Kavanaugh,Majority,Allen,Milligan
7,21-1086,Allen v. Milligan,Act ,Amy Coney Barrett,Minority,Allen,Milligan
8,21-1086,Allen v. Milligan,Act ,Ketanji Brown Jackson,Majority,Allen,Milligan
9,21-757,Amgen Inc. v. Sanofi,Act ,Neil Gorsuch,Majority,Amgen Inc.,Sanofi
10,21-757,Amgen Inc. v. Sanofi,Act ,"John G. Roberts, Jr.",Majority,Amgen Inc.,Sanofi
11,21-757,Amgen Inc. v. Sanofi,Act ,Clarence Thomas,Majority,Amgen Inc.,Sanofi
12,21-757,Amgen Inc. v. Sanofi,Act ,"Samuel A. Alito, Jr.",Majority,Amgen Inc.,Sanofi
13,21-757,Amgen Inc. v. Sanofi,Act ,Sonia Sotomayor,Majority,Amgen Inc.,Sanofi
14,21-757,Amgen Inc. v. Sanofi,Act ,Elena Kagan,Majority,Amgen Inc.,Sanofi
15,21-757,Amgen Inc. v. Sanofi,Act ,Brett M. Kavanaugh,Majority,Amgen Inc.,Sanofi
16,21-757,Amgen Inc. v. Sanofi,Act ,Amy Coney Barrett,Majority,Amgen Inc.,Sanofi
17,21-757,Amgen Inc. v. Sanofi,Act ,Ketanji Brown Jackson,Majority,Amgen Inc.,Sanofi
18,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Sonia Sotomayor,Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
19,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,"John G. Roberts, Jr.",Minority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
20,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Clarence Thomas,Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
21,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,"Samuel A. Alito, Jr.",Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
22,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Elena Kagan,Minority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
23,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Neil Gorsuch,Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
24,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Brett M. Kavanaugh,Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
25,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Amy Coney Barrett,Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
26,21-869,"Andy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith",Act ,Ketanji Brown Jackson,Majority,"Andy Warhol Foundation for the Visual Arts, Inc.",Goldsmith
27,21-432,Arellano v. McDonough,Act ,Amy Coney Barrett,Majority,Arellano,McDonough
28,21-432,Arellano v. McDonough,Act ,"John G. Roberts, Jr.",Majority,Arellano,McDonough
29,21-432,Arellano v. McDonough,Act ,Clarence Thomas,Majority,Arellano,McDonough
30,21-432,Arellano v. McDonough,Act ,"Samuel A. Alito, Jr.",Majority,Arellano,McDonough
31,21-432,Arellano v. McDonough,Act ,Sonia Sotomayor,Majority,Arellano,McDonough
32,21-432,Arellano v. McDonough,Act ,Elena Kagan,Majority,Arellano,McDonough
33,21-432,Arellano v. McDonough,Act ,Neil Gorsuch,Majority,Arellano,McDonough
34,21-432,Arellano v. McDonough,Act ,Brett M. Kavanaugh,Majority,Arellano,McDonough
35,21-432,Arellano v. McDonough,Act ,Ketanji Brown Jackson,Majority,Arellano,McDonough
36,21-908,Bartenwerfer v. Buckley,Act ,Amy Coney Barrett,Majority,Bartenwerfer,Buckley
